Video Title,Video ID,User,Comment,Published,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
cosby show - one of the funniest moments,jJPudiBap4U,nyer070, WOWayne325 YES  absolutely  I agree 100  good point,2011-12-03,0.75,0,0,1,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,theBANGperson,My favorite part is when Rudy s sick and he s says    I can see your feet  ,2013-01-16,-1.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,FR amps, ...and whatever I m going to run over it s twelve of them   Hilarious  ,2013-05-14,0.375,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Luis Cabrera,I m in tears  XD,2012-11-20,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Giliardino Jackson,I could watch that oveeer and ooover again xD,2013-03-11,-0.125,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,printthelegends,Check out Parks and Recreation.,2013-09-28,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,wild1033,I d fuck Denise.,2012-10-11,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Darko Blazhevski,3 people died laughing watching this,2012-10-25,-0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MichaelHansenFUN,i wonder if this on dvd had commentary,2012-11-16,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Saa Dia,yay Bill Cospy     ,2013-07-14,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Marcel Miranda,And the car said   What   xD,2013-07-18,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,RegisPhilbinFan,Man  just let The Cos go and he brings down the damn house  Every time ,2012-07-13,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Jigz Choppz,This Show Is Only On 89 Centric,2012-04-24,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Preston Mounteer,Here I go  down the slope  oh I going  zip zop zobedy bop ,2012-10-19,-0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,persiansuperstar,Thanks For Pudding This Video     ,2013-06-12,0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,CoreyLandenStutes,This hysterical amazing legend reminds me of my grandfather.,2012-02-04,0.875,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MichaelHansenFUN,some one should be posting more videos of cars doing this...,2012-04-19,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,William Bynum,Yes ,2013-07-13,0,0,0,1,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,6 String Fan,God Bless Bill Cosby....One of the classiest and funniest men in the world ,2013-07-13,0.5,0,0,0,0,0,0,0,0
